epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2101,1.23543,1.42861,1.00648,0.65481,0.40897,0.44048,0.27588,1.43432,1.90551,1.08543,0.000174665,0.000174665,0.000174665
43,2150.41,1.18377,1.38562,0.97904,0.6467,0.41441,0.46079,0.29005,1.40889,1.83482,1.09552,0.000171755,0.000171755,0.000171755
44,2199.86,1.24706,1.43988,0.98716,0.64348,0.40942,0.45694,0.29458,1.42139,1.82437,1.09882,0.000168844,0.000168844,0.000168844
45,2248.84,1.22131,1.35062,0.98675,0.70102,0.3889,0.4375,0.28165,1.4209,1.91046,1.09131,0.000165934,0.000165934,0.000165934
46,2298.3,1.22024,1.38189,0.97617,0.58368,0.38925,0.42569,0.27069,1.42433,1.92024,1.09889,0.000163023,0.000163023,0.000163023
47,2348.78,1.24037,1.33982,0.99213,0.60972,0.36018,0.42911,0.27328,1.42165,1.85144,1.10511,0.000160112,0.000160112,0.000160112
48,2398.88,1.23377,1.32994,0.99194,0.52462,0.43193,0.44893,0.28655,1.40762,1.82566,1.10569,0.000157202,0.000157202,0.000157202
49,2448.64,1.25282,1.41903,0.98641,0.49947,0.4468,0.448,0.27837,1.41159,1.83492,1.09361,0.000154291,0.000154291,0.000154291
50,2497.55,1.21071,1.36694,0.98542,0.53214,0.40041,0.44373,0.27484,1.45326,1.84238,1.10457,0.000151381,0.000151381,0.000151381
51,2547.16,1.1777,1.29591,0.97851,0.50596,0.42284,0.42813,0.2715,1.427,1.90107,1.09799,0.00014847,0.00014847,0.00014847
52,2596.46,1.21311,1.34536,0.99391,0.59738,0.35983,0.41304,0.26609,1.4054,1.89443,1.09342,0.000145559,0.000145559,0.000145559
53,2646.85,1.19509,1.36068,0.97222,0.61401,0.35772,0.41858,0.27234,1.41489,1.84752,1.10678,0.000142649,0.000142649,0.000142649
54,2696.82,1.16612,1.29003,0.9753,0.48488,0.44487,0.42037,0.27539,1.39927,1.88279,1.09717,0.000139738,0.000139738,0.000139738
55,2746.04,1.15182,1.22611,0.96801,0.48208,0.47856,0.42491,0.27889,1.3927,1.88714,1.07946,0.000136828,0.000136828,0.000136828
56,2795.66,1.18048,1.33739,0.97672,0.50429,0.4865,0.43275,0.28735,1.39075,1.8826,1.08217,0.000133917,0.000133917,0.000133917
57,2846.7,1.12233,1.20653,0.95754,0.50841,0.40756,0.4437,0.29669,1.40442,1.82017,1.10305,0.000131006,0.000131006,0.000131006
58,2896.34,1.17892,1.25851,0.98027,0.59089,0.39606,0.4399,0.29155,1.41418,1.79811,1.12182,0.000128096,0.000128096,0.000128096
59,2946.78,1.16958,1.26961,0.96646,0.58764,0.40556,0.43628,0.29055,1.40552,1.81481,1.10609,0.000125185,0.000125185,0.000125185
60,2996.95,1.21757,1.3721,0.99005,0.58575,0.43472,0.42024,0.27205,1.40695,1.87679,1.09159,0.000122275,0.000122275,0.000122275
61,3047.64,1.13544,1.20009,0.95797,0.57002,0.41013,0.4253,0.27439,1.41825,1.94931,1.10508,0.000119364,0.000119364,0.000119364
62,3098.26,1.17169,1.23449,0.97428,0.57419,0.37844,0.43921,0.27701,1.41913,1.92946,1.11846,0.000116453,0.000116453,0.000116453
63,3148.93,1.13986,1.24558,0.9463,0.5361,0.40211,0.43206,0.27676,1.4219,1.88586,1.12144,0.000113543,0.000113543,0.000113543
64,3198.94,1.15031,1.18008,0.98324,0.53895,0.40599,0.442,0.28198,1.45209,1.8665,1.12877,0.000110632,0.000110632,0.000110632
65,3248.54,1.11083,1.15778,0.95616,0.52716,0.43103,0.44499,0.27705,1.46519,1.88221,1.12967,0.000107722,0.000107722,0.000107722
66,3297.8,1.13333,1.18169,0.95613,0.51151,0.44702,0.44062,0.28164,1.41817,1.89768,1.11317,0.000104811,0.000104811,0.000104811
67,3347.34,1.15859,1.217,0.95135,0.48923,0.44445,0.4438,0.27996,1.40239,1.88666,1.10959,0.0001019,0.0001019,0.0001019
68,3396.97,1.11774,1.20773,0.95928,0.6174,0.37845,0.45679,0.28958,1.39629,1.81471,1.10433,9.89898e-05,9.89898e-05,9.89898e-05
69,3446.38,1.13155,1.18949,0.95064,0.50453,0.45216,0.45584,0.28808,1.39879,1.76278,1.10112,9.60792e-05,9.60792e-05,9.60792e-05
70,3496.1,1.15432,1.20867,0.95898,0.61907,0.38118,0.43262,0.28048,1.39654,1.76535,1.0964,9.31686e-05,9.31686e-05,9.31686e-05
71,3545.58,1.10516,1.1546,0.95395,0.57487,0.41664,0.44062,0.28146,1.41823,1.80773,1.10434,9.0258e-05,9.0258e-05,9.0258e-05
72,3594.98,1.06679,1.08732,0.94468,0.64867,0.39282,0.45636,0.28962,1.42527,1.77961,1.10749,8.73474e-05,8.73474e-05,8.73474e-05
73,3644.26,1.10883,1.15626,0.94922,0.53024,0.45902,0.46261,0.3027,1.40553,1.71699,1.10683,8.44368e-05,8.44368e-05,8.44368e-05
74,3693.69,1.1539,1.15884,0.97641,0.56593,0.44028,0.46938,0.29707,1.41007,1.73988,1.10815,8.15262e-05,8.15262e-05,8.15262e-05
75,3742.79,1.09923,1.12397,0.95165,0.57349,0.43683,0.45583,0.28966,1.41588,1.78271,1.10279,7.86156e-05,7.86156e-05,7.86156e-05
76,3791.86,1.11036,1.14625,0.95293,0.56256,0.43012,0.44454,0.27931,1.4264,1.774,1.10862,7.5705e-05,7.5705e-05,7.5705e-05
77,3840.86,1.06015,1.0879,0.96677,0.52337,0.44271,0.4509,0.28176,1.42084,1.76755,1.11134,7.27944e-05,7.27944e-05,7.27944e-05
78,3889.89,1.10183,1.23156,0.94479,0.55806,0.42545,0.44779,0.27983,1.40171,1.77882,1.10833,6.98838e-05,6.98838e-05,6.98838e-05
79,3939.17,1.09622,1.18211,0.96506,0.5526,0.42336,0.4412,0.2714,1.40029,1.81067,1.10776,6.69732e-05,6.69732e-05,6.69732e-05
80,3988.41,1.0947,1.10974,0.95841,0.58624,0.38915,0.43896,0.26962,1.3985,1.81749,1.10599,6.40626e-05,6.40626e-05,6.40626e-05
81,4037.64,1.08903,1.11436,0.94902,0.55327,0.42152,0.44204,0.27477,1.40138,1.78659,1.10008,6.1152e-05,6.1152e-05,6.1152e-05
82,4086.55,1.04225,1.27248,0.94989,0.54455,0.43519,0.44575,0.27625,1.40203,1.76515,1.09988,5.82414e-05,5.82414e-05,5.82414e-05
83,4135.53,1.11783,1.12031,0.94862,0.54957,0.42807,0.44721,0.28289,1.40766,1.786,1.09971,5.53308e-05,5.53308e-05,5.53308e-05
84,4185.12,1.06161,1.08692,0.93921,0.55247,0.42929,0.45215,0.28625,1.42178,1.79593,1.10406,5.24202e-05,5.24202e-05,5.24202e-05
85,4235.43,1.09352,1.10048,0.94041,0.55753,0.44031,0.4505,0.286,1.42414,1.77264,1.10592,4.95096e-05,4.95096e-05,4.95096e-05
86,4285.51,1.15495,1.11119,0.9582,0.53793,0.466,0.45759,0.29291,1.42415,1.74226,1.10818,4.6599e-05,4.6599e-05,4.6599e-05
87,4335.15,1.11327,1.14588,0.96476,0.51443,0.49055,0.44987,0.29106,1.41358,1.7142,1.10772,4.36884e-05,4.36884e-05,4.36884e-05
88,4384.89,1.07664,1.1038,0.94227,0.52611,0.48023,0.46534,0.30145,1.41057,1.71256,1.10917,4.07778e-05,4.07778e-05,4.07778e-05
89,4434.93,1.10313,1.11609,0.95939,0.59562,0.47693,0.47367,0.3018,1.4127,1.70896,1.10718,3.78672e-05,3.78672e-05,3.78672e-05
90,4484.19,1.10241,1.11315,0.95197,0.60206,0.47358,0.47091,0.30109,1.4165,1.7175,1.10288,3.49566e-05,3.49566e-05,3.49566e-05
91,4533.35,1.06996,1.22352,0.97204,0.53759,0.47802,0.46972,0.29723,1.42581,1.76065,1.09969,3.2046e-05,3.2046e-05,3.2046e-05
92,4583.01,1.04821,1.07626,0.95037,0.52258,0.4629,0.45038,0.28819,1.43757,1.80118,1.10125,2.91354e-05,2.91354e-05,2.91354e-05
93,4632.35,1.0422,1.08501,0.94395,0.51012,0.46276,0.44433,0.28298,1.43724,1.83328,1.09958,2.62248e-05,2.62248e-05,2.62248e-05
94,4681.5,1.05907,1.11666,0.96356,0.47726,0.45853,0.432,0.27467,1.43612,1.84808,1.10041,2.33142e-05,2.33142e-05,2.33142e-05
95,4731.14,1.06017,1.08531,0.94904,0.48319,0.43924,0.42669,0.27284,1.42811,1.83361,1.09966,2.04036e-05,2.04036e-05,2.04036e-05
96,4780,1.02432,1.0856,0.93396,0.46096,0.45257,0.42846,0.27393,1.42049,1.80666,1.10047,1.7493e-05,1.7493e-05,1.7493e-05
97,4829.21,1.04025,1.05996,0.95265,0.46536,0.44914,0.43013,0.27626,1.41097,1.7864,1.09797,1.45824e-05,1.45824e-05,1.45824e-05
98,4878.73,1.04043,1.0768,0.95163,0.46258,0.4606,0.43632,0.28031,1.40223,1.77735,1.09561,1.16718e-05,1.16718e-05,1.16718e-05
99,4927.67,1.0607,1.07353,0.95041,0.44935,0.46789,0.42906,0.27946,1.39489,1.77045,1.09457,8.7612e-06,8.7612e-06,8.7612e-06
100,4977.28,1.0153,1.07263,0.93536,0.45189,0.43927,0.42883,0.27937,1.39364,1.77295,1.09492,5.8506e-06,5.8506e-06,5.8506e-06
